,Unnamed: 0,flare_id,tstart,tpeak,tend,peak_flux,BG_flux,flux_int,ratio,flux_int_corrected,delta_flux,fclass_simple,fclass_full,abs_class_simple,abs_class_full,flare_x,flare_y,Lon [Helioprojective],Lat [Helioprojective],Lon [Heliographic],Lat [Heliographic]
42,141000,2014--4718,2014-04-18 12:37:00,2014-04-18 13:03:00,2014-04-18 14:00:00,0.000104815,2.7072e-06,0.0033241995,38.5398280671,0.0031022065,0.0001020953,X,X1.0,X,X1.0,2885.550699407179,1679.32906143414,499.1125177648557,-220.22115070738744,33.12210368456615,-17.758205383949466
43,141406,2014--4990,2014-04-24 23:55:00,2014-04-25 00:27:00,2014-04-25 01:27:00,0.0001988502,1.1997e-06,0.0039528631,165.5947611311,0.0038436918,0.0001976494,X,X1.9,X,X1.9,3606.0865393678014,1683.6448873695444,931.9287744831,-217.71465398075074,,
44,143661,2014--6680,2014-06-10 11:33:00,2014-06-10 11:42:00,2014-06-10 12:18:00,0.0003173082,1.8334e-06,0.0014827635,173.0307240495,0.0014020952,0.0003154744,X,X3.1,X,X3.1,586.9929397029025,1632.0440785626822,-877.1645961788017,-250.14120908440782,-73.82525933261559,-15.199881147801273
45,143663,2014--6681,2014-06-10 12:31:00,2014-06-10 12:52:00,2014-06-10 14:36:00,0.0002217777,3.645e-06,0.0048644761,60.6690520368,0.0044124986,0.0002181222,X,X2.1,X,X2.2,592.824465989914,1477.5301181936268,-873.6378497197293,-342.76719917541413,-82.16094144540506,-21.187151589339365
46,143714,2014--6709,2014-06-11 08:58:00,2014-06-11 09:06:00,2014-06-11 09:32:00,0.0001425631,4.5159e-06,0.0011563182,31.1849098068,0.0010072919,0.0001379916,X,X1.3,X,X1.4,659.5759353387218,1545.7294796862166,-833.6344215702266,-301.87276646856884,-68.13236743655585,-18.386436841509447
47,148644,2014--10170,2014-09-10 16:55:00,2014-09-10 17:45:00,2014-09-10 18:26:00,0.0002386852,1.8668e-06,0.0096240281,127.6066057175,0.0094560163,0.0002368147,X,X2.3,X,X2.3,1959.4699971196123,2305.915198613712,-54.977420676266775,154.40084039148118,-3.427560789489746,16.50712655581679
48,150703,2014--11582,2014-10-19 03:57:00,2014-10-19 05:03:00,2014-10-19 06:58:00,0.0001579338,3.9889e-06,0.0124204942,39.5153439431,0.0117025001,0.0001539371,X,X1.5,X,X1.5,636.6460855594476,1612.7811530258978,-849.3495797885116,-260.3185067551105,-64.78525297325262,-13.333075368117155
49,150955,2014--11730,2014-10-22 01:28:00,2014-10-22 01:59:00,2014-10-22 03:42:00,0.000126006,6.4425000000000006e-06,0.0066117094,19.5298847775,0.0057548595,0.0001195541,X,X1.1,X,X1.2,1470.174267340347,1550.0784682598523,-349.65024893614464,-297.74101040040136,-21.76848137464964,-12.96367324901389
50,150992,2014--11750,2014-10-22 13:53:00,2014-10-22 14:28:00,2014-10-22 15:50:00,0.000238911,2.2912e-06,0.010472845,104.2248605637,0.0102070627,0.0002366187,X,X2.3,X,X2.3,1680.8849516335542,1532.4886476381498,-223.3288741928991,-308.24288075081944,-13.701188953236112,-13.43397731656432
51,151178,2014--11866,2014-10-24 20:45:00,2014-10-24 21:20:00,2014-10-24 21:23:00,0.0003144972,2.9707e-06,0.0024377022,105.7130521521,0.0023277846,0.0003115222,X,X3.1,X,X3.1,,,,,,
